date_or_day,total_new_first_infections,total_new_reinfections,total_new_infections,total_active_infected,total_active_infected_per_100k,total_recovered,total_recovered_per_100k,cross_region_flow_share,elderly_new_infections,elderly_active_infected,elderly_active_infected_per_100k,elderly_ever_infected_rate,elderly_reinfection_share
day_1,173.5531160810995,0.0,173.5531160810995,773.42384,8.0,193.35596000000004,2.0000000000000004,0.025610914565748443,43.162597127534276,159.46576000000002,8.0,0.00012165359993388357,0.0
day_2,138.8401877748583,0.0,138.8401877748583,705.5156300405499,7.297583483235272,348.04072800000006,3.600000000000001,0.025610912838208502,34.529404703405824,149.15390656376718,7.482679996697331,0.0001389761422544412,0.0
day_3,127.19754784792076,0.0,127.19754784792076,677.2208769401439,7.004913393309871,489.14385400811,5.059516696647054,0.025610281595995054,31.73657191267608,147.37847688460025,7.393611111732086,0.00015489758992464074,0.0
day_4,122.72124285995486,0.0,122.72124285995486,661.7796619299276,6.845195378822846,624.5880293961388,6.46049937530903,0.025609539261238306,30.73627740146648,147.7987432808115,7.414694830078206,0.00017031721475254104,0.0
day_5,120.4793969970898,0.0,120.4793969970898,650.7858311628256,6.731479403715568,756.9439617821245,7.8295384510736,0.02560887371440302,30.27937570727348,148.55511421194805,7.4526400758105344,0.00018550762338051687,0.0
day_6,118.94201703831472,0.0,118.94201703831472,641.5494142382472,6.635941444352139,887.1011280146896,9.175834331816713,0.025608320394535637,29.981976081305692,149.14183901684464,7.4820745979247025,0.00020054883402369214,0.0
day_7,117.63406421461039,0.0,117.63406421461039,633.1709145637485,6.549277452463824,1015.4110108623389,10.50302262068714,0.025607871230369898,29.727262222913566,149.45333307777165,7.497701479127389,0.0002154622610679443,0.0
day_8,116.40774443699408,0.0,116.40774443699408,625.3194553448793,6.468064965205928,1142.0451937750886,11.812878111179904,0.025607509539277436,29.480588544651912,149.49622850582205,7.499853435913618,0.0002302519380718971,0.0
day_9,115.21682349427583,0.0,115.21682349427583,617.8507983413407,6.390812037460244,1267.1090848440645,13.10649110422109,0.02560721911989388,29.232412122942378,149.30405809878596,7.4902127252288375,0.0002449171111462658,0.0
day_10,114.04661616451529,0.0,114.04661616451529,610.6866674529291,6.316709011223953,1390.6792445123326,14.38465351171314,0.025606986170555956,28.980728250405093,148.9129901875641,7.470593822150366,0.0002594560206904213,0.0
day_11,112.89225917229757,0.0,112.89225917229757,603.7756564345293,6.24522415998482,1512.8165780029183,15.647995313957928,0.02560679937841418,28.725694175277717,148.3556281295215,7.442632355912466,0.0002738669859911816,0.0
day_12,111.75196435033021,0.0,111.75196435033021,597.0798159698652,6.175964950548876,1633.5717092898242,16.897040145954893,0.02560664959500123,28.468003413012,147.65996758099115,7.407732798864967,0.0002881486742547791,0.0
day_13,110.62492130474375,0.0,110.62492130474375,590.5694803621781,6.108624532310026,1752.9876724837975,18.13223313606467,0.025606529462138605,28.20840870885447,146.8497083099859,7.367084109340383,0.000302300130320999,0.0
day_14,109.51064393268523,0.0,109.51064393268523,584.2208587352573,6.042956821556029,1871.1015685562331,19.353958042526674,0.02560643307614109,27.947593461546635,145.94483812501244,7.32168902590813,0.00031632074187370356,0.0
day_15,108.40876561150259,0.0,108.40876561150259,578.0146461773058,5.978762135672527,1987.9457403032843,20.562549406837878,0.025606355706122276,27.68614663633762,144.96220296929513,7.272392667581813,0.00033021019206615746,0.0
day_16,107.3189739185971,0.0,107.3189739185971,571.9350793421461,5.9158774246436066,2103.5486695387453,21.758301833972382,0.025606293563423838,27.42456678065035,143.9160019282475,7.21990736711116,0.000343968414160012,0.0
day_17,106.24098882386018,0.0,106.24098882386018,565.9692316331661,5.8541689807044595,2217.935685407175,22.941477318901107,0.02560624361488767,27.163272937856423,142.81820470932888,7.164833614906617,0.00035759555164096256,0.0
day_18,105.17455446305699,0.0,105.17455446305699,560.1064637981875,5.7935267555051055,2331.1295317338077,24.112311115041994,0.025606203432488123,26.902616071899136,141.67890181975673,7.107677626582997,0.00037109192406438,0.0
day_19,104.11943521299173,0.0,104.11943521299173,554.3379875159059,5.733859846015668,2443.1508244934457,25.271016466143024,0.02560617107259448,26.64288935177313,140.50659851790175,7.048866089768826,0.00038445799806141546,0.0
day_20,103.07541318670948,0.0,103.07541318670948,548.6565158578984,5.675092879039243,2554.0184219966272,26.41778843534616,0.025606144979211817,26.38433702502998,139.30846202125616,6.988758565914396,0.0003976943627957688,0.0
day_21,102.04228626439462,0.0,102.04228626439462,543.0559822022605,5.617163103762206,2663.749725168206,27.552807011153998,0.025606123906509872,26.127161965000294,138.09052973298728,6.927657936499335,0.000410801709207906,0.0
day_22,101.01986637311047,0.0,101.01986637311047,537.5313136519763,5.560018048080611,2772.3609216086584,28.67623963190644,0.02560610685684985,25.87153206820959,136.85788482688113,6.865819211691896,0.00042378081246781743,0.0
day_23,100.00797795702208,0.0,100.00797795702208,532.0782480532205,5.50361362590758,2879.8671843390534,29.78824324152256,0.025606093031198762,25.617585670918086,135.6148044158554,6.80345696359421,0.00043663251714520047,0.0
day_24,99.00645658499475,0.0,99.00645658499475,526.6931859869071,5.447912606230572,2986.282833949698,30.888965966704085,0.02560608178949,25.365436131347543,134.3648846453186,6.740751601864555,0.00044935772467884634,0.0
day_25,98.01514770584792,0.0,98.01514770584792,521.3730708541884,5.392883372761703,3091.6214711470793,31.978548487950196,0.025606072618916,25.11517570975903,133.1111463382458,6.677854673667666,0.00046195738279221485,0.0
day_26,97.03390552498401,0.0,97.03390552498401,516.1152915686059,5.338498917422622,3195.896085317917,33.05712516250254,0.025606065108561452,24.866878851097557,131.8561242364716,6.614893340688138,0.0004744324765557533,0.0
day_27,96.06259200852801,0.0,96.06259200852801,510.91760346000444,5.284736022204895,3299.119143631638,34.124824945987065,0.025606058929108014,24.620604963402172,130.60194239766355,6.55197416160879,0.0004867840208438705,0.0
day_28,95.10107599424188,0.0,95.10107599424188,505.77806387482735,5.231574593044118,3401.3026643236385,35.18177215042803,0.025606053816616483,24.376400767692452,129.35037790407506,6.48918628822012,0.0004990130539693748,0.0
day_29,94.14923240633303,0.0,94.14923240633303,500.6949796503948,5.178997116513965,3502.4582770986044,36.22808706903686,0.025606049559523936,24.134302288395862,128.10291470007837,6.426604166315246,0.0005111206323175827,0.0
day_30,93.20694156469565,0.0,93.20694156469565,495.6668641987488,5.126988215917924,3602.5972730286835,37.26388649233966,0.025606045988250194,23.894336535896795,126.8607890926698,6.364289818336918,0.0005231078258247337,0.0
day_31,92.2740885745803,0.0,92.2740885745803,490.6924023805633,5.075534287958471,3701.730645868433,38.28928413552324,0.025606042966852163,23.656522929463055,125.62502820838779,6.302294772665318,0.0005349757141686024,0.0
day_32,91.35056279469023,0.0,91.35056279469023,485.77042170252287,5.024623204813783,3799.8691263445457,39.304390993114936,0.025606040386368843,23.420874502384596,124.39648249856774,6.240661694325739,0.0005467253835659534,0.0
day_33,90.43625736738113,0.0,90.43625736738113,480.8998686583996,4.974244069418906,3897.02321068505,40.309315634077684,0.025606038159478674,23.187398919652058,123.17585321597525,6.179425763422831,0.0005583579240786649,0.0
day_34,89.53106881115121,0.0,89.53106881115121,476.0797892586009,4.924387014070845,3993.2031844167304,41.304164447961476,0.025606036216203498,22.956099338719817,121.96371564116676,6.118615840349264,0.0005698744273522629,0.0
day_35,88.63489666576045,0.0,88.63489666576045,471.3093129783969,4.875043034395184,4088.4191422684503,42.28904185077564,0.025606034500493226,22.7269751385858,120.7605387164866,6.058255450774466,0.0005812759847217091,0.0
day_36,87.74764318099423,0.0,87.74764318099423,466.58763950135585,4.826203852225252,4182.681004864129,43.26405045765467,0.02560603296744167,22.500022534233572,119.56670164425876,5.998363618334557,0.0005925636856220686,0.0
day_37,86.8692130455029,0.0,86.8692130455029,461.914027750901,4.7778618021487524,4275.998532764401,44.229291228099726,0.025606031581112073,22.275235096797577,118.38250791805855,5.938955568546303,0.0006037386162638051,0.0
day_38,85.9995131535265,0.0,85.9995131535265,457.2877867983804,4.730009737464316,4368.381338314581,45.184863588529474,0.025606030312748454,22.05260419405911,117.20819718417138,5.8800433238669605,0.0006148018585268539,0.0
day_39,85.13845240118788,0.0,85.13845240118788,452.70826831429736,4.6826409520999235,4459.838895674257,46.13086553602235,0.025606029139355644,21.832119360792294,116.04395526922893,5.821636206755804,0.0006257544890404655,0.0
day_40,84.28594150648202,0.0,84.28594150648202,448.17486028982836,4.635749115670687,4550.3805493371165,47.067393726442326,0.025606028042565118,21.613768612237404,114.8899226567252,5.763741264919828,0.000636597578422205,0.0
day_41,83.44189285769585,0.0,83.44189285769585,443.68698180429897,4.589328219355627,4640.015521395082,47.99454354957646,0.02560602700770149,21.397538709996685,113.7462016521699,5.706363630771642,0.0006473321906473045,0.0
day_42,82.6062203798395,0.0,82.6062203798395,439.24407865850526,4.543372530730423,4728.752917755943,48.912409193447594,0.025606026023072038,21.183415385223253,112.61286244012913,5.649506825296121,0.0006579593825336036,0.0
day_43,81.77883941615832,0.0,81.77883941615832,434.84561972425695,4.497876556008483,4816.601733487643,49.82108369959368,0.025606025079367937,20.971383526626983,111.48994820391152,5.593173014892302,0.0006684802033175381,0.0
day_44,80.95966663025199,0.0,80.95966663025199,430.49109388621105,4.4528350084084405,4903.570857432494,50.720659010795366,0.025606024169158765,20.761427341262618,110.37747945234683,5.537363228437093,0.0006788956943126892,0.0
day_45,80.148619915685,0.0,80.148619915685,426.18000747749767,4.408242781629257,4989.669076209736,51.61122601247705,0.025606023286574443,20.553530486997293,109.27545767711757,5.482077540764491,0.0006892068886339547,0.0
day_46,79.34561832049391,0.0,79.34561832049391,421.911882124105,4.364094927553357,5074.905077705237,52.49287456880292,0.025606022426945794,20.34767618727548,108.18386844281277,5.427315227685881,0.0006994148109803423,0.0
day_47,78.55058198179563,0.0,78.55058198179563,417.6862529305844,4.320386637480265,5159.287454130057,53.36569355431358,0.02560602158658293,20.143847325971727,107.10268399844729,5.373074897003459,0.0007095204774635362,0.0
day_48,77.7634320664977,0.0,77.7634320664977,413.50266695101556,4.277113226310847,5242.824704716174,54.22977088180963,0.0256060207625774,19.942026527419614,106.03186548384224,5.319354599198837,0.0007195248954791478,0.0
day_49,76.9840907203719,0.0,76.9840907203719,409.3606818973353,4.234270119186761,5325.525238106377,55.08519352707181,0.025606019952635575,19.742196224714274,104.9713647933258,5.266151920930277,0.000729429063608826,0.0
day_50,76.2124810260297,0.0,76.2124810260297,405.2598650463156,4.191852840184659,5407.397374485845,55.93204755090916,0.025606019154954234,19.544338716068644,103.92112615014378,5.213464064016941,0.0007392339715545464,0.0
day_51,75.44852696115976,0.0,75.44852696115976,401.199792314291,4.1498570027455175,5488.449347495108,56.7704181189461,0.025606018368135017,19.348436212762678,102.8810874358909,5.161287912133158,0.0007489406000936495,0.0
day_52,74.6921533650274,0.0,74.6921533650274,397.180047470632,4.10827830153911,5568.689305957966,57.600389519495195,0.02560601759108216,19.15447087934987,101.851181312982,5.109620087119994,0.0007585499210560187,0.0
day_53,73.94328591086332,0.0,73.94328591086332,393.2002214686188,4.067112505542822,5648.125315452092,58.42204517980301,0.025606016822945766,18.962424867890846,100.83133617219518,5.058456996521143,0.0007680628973176349,0.0
day_54,73.20185107553002,0.0,73.20185107553002,389.2599118763834,4.026355452155531,5726.765359745816,59.23546768091157,0.025606016063069597,18.772280345108847,99.82147693260634,5.007794873713647,0.0007774804828082051,0.0
day_55,72.46777611867356,0.0,72.46777611867356,385.3587223896159,3.986003042157231,5804.6173421210915,60.040738771342674,0.02560601531095041,18.584019516005984,98.82152571606461,4.9576298117446465,0.0007868036225295591,0.0
day_56,71.74098906040881,0.0,71.74098906040881,381.49626241528404,3.946051235403181,5881.689086599016,60.83793937977413,0.025606014566202,18.397624645046093,97.83140241584444,4.90795779185924,0.0007960332525869682,0.0
day_57,71.02141866264417,0.0,71.02141866264417,377.67214671422727,3.9064960471270425,5957.988339082073,61.62714962685477,0.025606013828537166,18.213078070260828,96.85102517669498,4.85877470758337,0.0008051703002241939,0.0
day_58,70.30899441309708,0.0,70.30899441309708,373.8859950937039,3.8673335447606982,6033.5227684249185,62.40844883628018,0.025606013097734255,18.030362219345676,95.88031079849611,4.810076384974234,0.0008142156838698891,0.0
day_59,69.60364650824053,0.0,69.60364650824053,370.13743214267276,3.828559845196111,6108.29996744366,63.18191554523233,0.025606012373619015,17.849459618237475,94.9191750770398,4.761858599716443,0.0008231703131862832,0.0
