week_start,age_group,observed_rate,model_rate
2025-09-22,50-64,3.7,382.6975450079447
2025-09-29,50-64,4.4,567.5888729968589
2025-10-06,50-64,7.5,834.9786606803975
2025-10-13,50-64,4.5,1208.505882734699
2025-10-20,50-64,6.4,1705.4286874695517
2025-10-27,50-64,7.3,2321.2192872032874
2025-11-03,50-64,12.1,3009.266884486708
2025-11-10,50-64,17.5,3668.4447300064908
2025-11-17,50-64,18.5,4160.022291443198
2025-11-24,50-64,19.8,4362.569387439233
2025-12-01,50-64,17.3,4234.61519038764
2025-12-08,50-64,17.7,3833.564381290445
2025-12-15,50-64,13.9,3276.406146419294
2025-12-22,50-64,13.1,2703.5881753601175
2025-12-29,50-64,13.6,3216.6618663230247
2026-01-05,50-64,14.7,3219.128893523894
2026-01-12,50-64,14.7,3072.251111551723
2026-01-19,50-64,14.5,2814.0988420791864
2026-01-26,50-64,14.0,2496.286825457185
2026-02-02,50-64,15.4,2163.7731208501955
2026-02-09,50-64,15.3,1847.730659394995
2026-02-16,50-64,15.3,1439.691113661269
2026-02-23,50-64,8.4,1278.2827033037195
2026-03-02,50-64,7.0,724.6448143918665
2026-03-09,50-64,6.0,484.7669571840798
2026-03-16,50-64,6.4,330.0705908046931
2026-03-23,50-64,5.8,229.42461842022664
2026-03-30,50-64,6.0,162.68974864372674
2026-04-06,50-64,4.2,117.60416973298736
2026-04-13,50-64,6.0,86.59076553864423
2025-09-01,65+,4.7,234.07988267357902
2025-09-08,65+,4.2,339.92342400388156
2025-09-15,65+,5.1,512.7334360339771
2025-09-22,65+,3.6,763.4696047062931
2025-09-29,65+,4.9,1125.9169050778353
2025-10-06,65+,6.4,1638.8943768355211
2025-10-13,65+,3.5,2338.231171407986
2025-10-20,65+,6.9,3237.7864688483464
2025-10-27,65+,7.7,4298.0113328908465
2025-11-03,65+,10.7,5393.238271158394
2025-11-10,65+,10.8,6310.1198619207635
2025-11-17,65+,12.9,6813.752661453483
2025-11-24,65+,11.9,6767.058791151438
2025-12-01,65+,10.5,6212.502973122803
2025-12-08,65+,10.6,5337.727225945447
2025-12-15,65+,9.0,4362.346689892349
2025-12-22,65+,10.0,3550.623691807836
2025-12-29,65+,9.3,4359.764167806912
2026-01-05,65+,9.0,4283.700920103002
2026-01-12,65+,9.5,3971.0304610197422
2026-01-19,65+,9.7,3523.20422775999
2026-01-26,65+,9.7,3036.743180550032
2026-02-02,65+,9.8,2574.5359572884436
2026-02-09,65+,8.5,2167.4132209834374
2026-02-16,65+,9.1,1747.462748459174
2026-02-23,65+,6.4,1496.7203248745755
2026-03-02,65+,5.0,790.4686658894494
2026-03-09,65+,3.5,525.244383407047
2026-03-16,65+,4.1,358.8841907608019
2026-03-23,65+,4.0,252.06171177620834
2026-03-30,65+,4.9,181.37381261127655
2026-04-06,65+,3.2,133.35674656419866
2026-04-13,65+,4.6,99.98591880513959
