date_or_day,region,age_group,new_first_infections,new_reinfections,new_infections_total,new_recoveries,active_infected,active_infected_per_100k,cumulative_first_infections,cumulative_reinfections,cumulative_total_infection_episodes,ever_infected_rate,infection_episode_rate
2025-09-01,Seoul,0-18,490.7220758972837,0.0,490.7220758972837,219.78220000000002,879.1288000000001,80.0,1589.633075897349,0.0,1589.633075897349,0.0014465530656234665,0.0014465530656234665
2025-09-01,Seoul,19-49,800.5438539935699,0.0,800.5438539935699,830.3176,3321.2704,80.0,4952.131853993516,0.0,4952.131853993516,0.0011928283476090394,0.0011928283476090394
2025-09-01,Seoul,50-64,496.01530033339833,0.0,496.01530033339833,426.9592,1707.8367999999998,80.0,2630.8113003335893,0.0,2630.8113003335893,0.0012323478685240133,0.0012323478685240133
2025-09-01,Seoul,65+,680.9973036372973,0.0,680.9973036372973,383.76680000000005,1535.0672,80.0,2599.831303637242,0.0,2599.831303637242,0.0013549016244434077,0.0013549016244434077
2025-09-01,Wonju,0-18,24.465302806309595,0.0,24.465302806309595,10.9574,43.8296,80.0,79.25230280630785,0.0,79.25230280630785,0.0014465530656233752,0.0014465530656233752
2025-09-01,Wonju,19-49,27.416334463055044,0.0,27.416334463055044,28.436000000000003,113.744,80.0,169.5963344630436,0.0,169.5963344630436,0.0011928283476089717,0.0011928283476089717
2025-09-01,Wonju,50-64,21.425726348065105,0.0,21.425726348065105,18.442800000000002,73.7712,80.0,113.63972634807578,0.0,113.63972634807578,0.0012323478685240395,0.0012323478685240395
2025-09-01,Wonju,65+,26.43591220154271,0.0,26.43591220154271,14.8976,59.5904,80.0,100.92391220154241,0.0,100.92391220154241,0.0013549016244434327,0.0013549016244434327
2025-09-02,Seoul,0-18,392.41972199463095,0.0,392.41972199463095,175.82576000000003,948.6640779486419,86.32765328117034,1982.0527978916653,0.0,1982.0527978916653,0.0018036517951787409,0.0018036517951787409
2025-09-02,Seoul,19-49,640.3238258724737,0.0,640.3238258724737,664.25408,3057.288246996785,73.64141738045261,5592.45567986602,0.0,5592.45567986602,0.0013470642269574967,0.0013470642269574967
2025-09-02,Seoul,50-64,396.72917728681017,0.0,396.72917728681017,341.56736,1614.277090166699,75.61739342619619,3027.5404776204377,0.0,3027.5404776204377,0.0014181872542483862,0.0014181872542483862
2025-09-02,Seoul,65+,544.6236499196142,0.0,544.6236499196142,307.01344,1568.5524118186486,81.74508122217183,3144.4549535568804,0.0,3144.4549535568804,0.0016387321433520984,0.0016387321433520984
