date_or_day,total_new_first_infections,total_new_reinfections,total_new_infections,total_active_infected,total_active_infected_per_100k,total_recovered,total_recovered_per_100k,cross_region_flow_share,elderly_new_infections,elderly_active_infected,elderly_active_infected_per_100k,elderly_ever_infected_rate,elderly_reinfection_share
2025-12-01,213.0146872810784,0.0,213.0146872810784,773.42384,8.0,193.35596000000004,2.0000000000000004,0.0021274810631010353,9.546986761693027,159.46576000000002,8.0,0.00010478948547275445,0.0
2025-12-02,170.4047123304347,0.0,170.4047123304347,725.2464156405391,7.501671173110351,347.0739482000001,3.5900000000000007,0.0021274765747735518,7.637556483906375,132.34610138084653,6.639474273642018,0.00010862105733327587,0.0
2025-12-03,178.9980996794566,1.253231226533399e-05,178.99811221176887,718.6531604979183,7.433473066958146,490.38786158710786,5.072384234622071,0.002143399624431503,6.579135364087261,112.08240603705366,5.622895148754374,0.00011192164544868448,7.000763406131818e-08
2025-12-04,198.66973104975392,3.8878968770041566e-05,198.6697699287227,733.6495984969625,7.588590478379488,631.666554378756,6.533716926840589,0.0021575996957818454,5.873127933845355,96.05825497787478,4.819003401250514,0.00011486804687526124,1.9567178635345046e-07
2025-12-05,224.86540056979612,8.649063212036164e-05,224.86548706042825,765.6180988112453,7.919260402536806,775.2381413062548,8.018766437882284,0.0021693254797916168,5.363381275185502,82.97933302333843,4.162866462284489,0.0001175587206880785,3.6718969634413546e-07
2025-12-06,128.75416497924405,8.18155858368459e-05,128.7542467948299,814.276432586048,8.42256357224311,924.4855703619727,9.562524686200236,0.005450284231839443,4.895868365799933,72.13152157678279,3.618658780507253,0.00012001485448893697,5.772153948450455e-07
2025-12-07,144.0289462643777,0.00013995803187829653,144.02908622240957,816.6892462347794,8.447520792581509,1082.7184290273724,11.199224777217857,0.005457501998367878,4.849456468607831,63.02717902338222,3.161916590665342,0.00012244770401956826,8.19928562032366e-07
2025-12-08,309.306272547254,0.00046165869474846063,309.30673420594877,807.9999901819986,8.357642455727753,1240.6426861291911,12.832732811848068,0.0021902508214842313,4.415316961348389,55.50745233398768,2.78467063193943,0.0001246627561516648,1.0905723573879305e-06
2025-12-09,311.9745701082425,0.0006577389810452075,311.97522784722355,878.3776558456609,9.08560207656036,1396.039470734945,14.440097638934379,0.0021917737141156904,4.141460712565014,49.1564749055053,2.4660579126455886,0.00012674042096235546,1.3851972209175935e-06
2025-12-10,359.6240742836211,0.0010384355984286143,359.62511271921954,974.6785704501715,10.081701856515531,1564.7348045504027,16.18501756605178,0.0021969833728922436,4.071306541250738,43.77116679984432,2.195890418098246,0.00012878289057766703,1.7004857063770934e-06
2025-12-11,421.55221823263406,0.0016148350293420926,421.5538330676634,1095.5436356065686,11.331883802356737,1751.8468446176848,18.120432849524626,0.0022016677285800934,4.086790492114309,39.27558014822087,1.9703580328828392,0.00013083312740879826,2.0336935175818072e-06
2025-12-12,496.49000418885123,0.0024655530106435547,496.4924697418619,1245.1122146423022,12.878963903075986,1962.1963375159098,20.296207445748347,0.002205499703321577,4.184863787400258,35.593182718806545,1.7856213255463265,0.0001329325643370643,2.3825005664879653e-06
2025-12-13,259.377822412321,0.001420837715582143,259.37924325003655,1428.6746596632966,14.777663534791444,2201.407798756791,22.77051918913481,0.0054780676688469905,5.727943350191268,32.6533373688603,1.63813660657236,0.00013580612296305573,2.7449378244427142e-06
2025-12-14,304.031734859982,0.0020686208423656145,304.03380348082436,1488.9217933303823,15.400836812378397,2476.135691695666,25.612199300147417,0.005480405867179796,6.380047023580174,31.076037167091403,1.559007384009779,0.00013900682366353945,3.1193587226998454e-06
2025-12-15,723.3436301653843,0.007156107057439648,723.3507862724417,1516.1453692045911,15.682427055308676,2761.539371903265,28.56430566612237,0.002210845171536831,4.774026198986467,30.527536881464787,1.5314904908220943,0.00014140182530863145,3.5044095194558682e-06
2025-12-16,727.0002606408812,0.008845789072108957,727.0091064299532,1737.095655770036,17.967852201401353,3050.9607488846664,31.557969548853485,0.0022096936521126213,4.877235604253352,29.642396178560897,1.4870851863653187,0.00014384860339463514,3.899004121220803e-06
2025-12-17,849.0516845279737,0.01266164790128947,849.064346175875,2015.2707580341869,20.84518892548424,3383.1250762942504,34.99375014138949,0.002211173454796572,5.341185143288057,28.762718081669927,1.4429539272465726,0.00014652813141993162,4.302541413805383e-06
2025-12-18,1006.4507028648707,0.01820235260983988,1006.4689052174805,2349.545896224366,24.30280293634979,3769.2636025196166,38.98781917577939,0.0022128364995103716,5.912613762427615,28.205167606390575,1.4149830085851947,0.00014949432849470544,4.71478435887049e-06
2025-12-19,1195.5140547049787,0.02599798691308785,1195.5400526918918,2751.535814486741,28.460832699304856,4220.326463751891,43.65344066717045,0.0022142579889646245,6.613304238525899,28.11793753685359,1.4106068932592721,0.00015281204147677118,5.135378859963733e-06
