date_or_day,region,age_group,new_first_infections,new_reinfections,new_infections_total,new_recoveries,active_infected,active_infected_per_100k,cumulative_first_infections,cumulative_reinfections,cumulative_total_infection_episodes,ever_infected_rate,infection_episode_rate
2025-12-01,Seoul,0-18,80.15695163204528,0.0,80.15695163204528,65.93466,263.73864,23.999999999999996,409.8302516322583,0.0,409.8302516322583,0.00037294216877641436,0.00037294216877641436
2025-12-01,Seoul,19-49,240.34767665229415,0.0,240.34767665229415,249.09527999999997,996.3811199999998,23.999999999999996,1485.8240766525269,0.0,1485.8240766525269,0.0003578929500356314,0.0003578929500356314
2025-12-01,Seoul,50-64,110.35928181862994,0.0,110.35928181862994,128.08775999999997,512.3510399999999,23.999999999999996,750.7980818189681,0.0,750.7980818189681,0.00035169546964626503,0.00035169546964626503
2025-12-01,Seoul,65+,74.77931207014548,0.0,74.77931207014548,115.13004,460.5201599999999,23.999999999999996,650.4295120702591,0.0,650.4295120702591,0.000338971225270273,0.000338971225270273
2025-12-01,Wonju,0-18,3.9962826007427936,0.0,3.9962826007427936,3.28722,13.14888,24.0,20.432382600738492,0.0,20.432382600738492,0.000372942168776142,0.000372942168776142
2025-12-01,Wonju,19-49,8.231219636058102,0.0,8.231219636058102,8.5308,34.1232,23.999999999999996,50.885219636082184,0.0,50.885219636082184,0.0003578929500357447,0.0003578929500357447
2025-12-01,Wonju,50-64,4.767046037946081,0.0,4.767046037946081,5.53284,22.131359999999997,23.999999999999996,32.43124603794422,0.0,32.43124603794422,0.0003516954696460865,0.0003516954696460865
2025-12-01,Wonju,65+,2.902888627927688,0.0,2.902888627927688,4.46928,17.877119999999998,23.999999999999996,25.24928862793604,0.0,25.24928862793604,0.00033897122527032597,0.00033897122527032597
2025-12-02,Seoul,0-18,64.12135031006699,0.0,64.12135031006699,52.747727999999995,251.06938781602264,22.847108438811027,473.95160194206983,0.0,473.95160194206983,0.0004312920718257164,0.0004312920718257164
2025-12-02,Seoul,19-49,192.26811988267178,0.0,192.26811988267178,199.27622399999996,917.2787343261468,22.09464750177876,1678.092196535319,0.0,1678.092196535319,0.000404204896183176,0.000404204896183176
2025-12-02,Seoul,50-64,88.28331655417053,0.0,88.28331655417053,102.47020799999999,465.06047290931497,21.784773482305333,839.0813983734697,0.0,839.0813983734697,0.00039304992063572805,0.00039304992063572805
2025-12-02,Seoul,65+,59.82135076706632,0.0,59.82135076706632,92.10403199999999,405.80578403507263,21.148561263510686,710.2508628370706,0.0,710.2508628370706,0.00037014711165065376,0.00037014711165065376
2025-12-02,Wonju,0-18,3.196816138374847,0.0,3.196816138374847,2.629776,12.517245300371398,22.847108438811027,23.629198739115964,0.0,23.629198739115964,0.0004312920718257244,0.0004312920718257244
2025-12-02,Wonju,19-49,6.58463250325376,0.0,6.58463250325376,6.82464,31.41416981802905,22.094647501778766,57.4698521392711,0.0,57.4698521392711,0.00040420489618280415,0.00040420489618280415
2025-12-02,Wonju,50-64,3.813459343528039,0.0,3.813459343528039,4.426272,20.088611018973037,21.78477348230533,36.24470538146852,0.0,36.24470538146852,0.00039304992063535384,0.00039304992063535384
2025-12-02,Wonju,65+,2.3222294247116926,0.0,2.3222294247116926,3.575424,15.753140313963842,21.14856126351069,27.57151805263129,0.0,27.57151805263129,0.00037014711165061874,0.00037014711165061874
2025-12-03,Seoul,0-18,60.26153328901271,1.2660486500190103e-05,60.26154594949921,50.213877563204534,252.95542331586293,23.01873612293106,534.2131352308206,1.2660486500190103e-05,534.2131478913071,0.00048612957303259373,0.00048612958455353266
2025-12-03,Seoul,19-49,176.90879745652754,3.716610775152419e-05,176.90883462263528,183.45574686522937,890.043966565327,21.43863905968817,1855.000993992202,3.716610775152419e-05,1855.0010311583098,0.00044681721644638194,0.000446817225398645
2025-12-03,Seoul,50-64,80.32984767935713,1.6875996376268032e-05,80.32986455535351,93.012094581863,443.77985705919474,20.78792807646233,919.4112460520118,1.6875996376268032e-05,919.4112629280082,0.00043067873747749757,0.00043067874538270086
2025-12-03,Seoul,65+,53.618786350052254,1.1264161744672381e-05,53.618797614213996,81.16115680701454,373.2501306291276,19.45192396158957,763.869649187196,1.1264161744672381e-05,763.8696604513578,0.0003980905326814076,0.00039809053855172354
2025-12-03,Wonju,0-18,3.0043821786342475,6.311976801450848e-07,3.004382809831928,2.5034490600742796,12.61127495967024,23.01873612293106,26.633580917754443,6.311976801450848e-07,26.633581548952122,0.00048612957303291736,0.00048612958455385624
2025-12-03,Wonju,19-49,6.058619695010462,1.2728327570345878e-06,6.058620967843219,6.28283396360581,30.481457015064642,21.43863905968817,63.528471834317315,1.2728327570345878e-06,63.52847310715007,0.0004468172164461761,0.0004468172253984391
2025-12-03,Wonju,50-64,3.469903716282137,7.289704167710547e-07,3.469904445252554,4.017722203794608,19.16937999642897,20.787928076462325,39.7146090977476,7.289704167710547e-07,39.71460982671802,0.0004306787374774719,0.00043067874538267527
2025-12-03,Wonju,65+,2.081449545735948,4.3726809095375444e-07,2.081449983004039,3.1506280627927685,14.489349120508841,19.45192396158957,29.652967598376563,4.3726809095375444e-07,29.652968035644655,0.0003980905326814596,0.00039809053855177553
2025-12-04,Seoul,0-18,59.86307731668962,3.515352687707402e-05,59.8631124702165,50.59108466317259,258.54506815896235,23.527389220688697,594.0762125477195,4.7814013377264127e-05,594.0762603617328,0.0005406044825720368,0.0005406045260823968
2025-12-04,Seoul,19-49,171.55033848691485,0.00010073603112701101,171.55043922294598,178.0087933130654,878.6000801157841,21.162988237652293,2026.5513324784115,0.0001379021388785352,2026.5514703805504,0.00048813883566442806,0.0004881388688811487
2025-12-04,Seoul,50-64,76.87844767113299,4.5143065458066144e-05,76.87849281419845,88.75597141183896,431.0545572909039,20.191838343846623,996.2896937234327,6.201906183433418e-05,996.2897557424945,0.00046669081904005476,0.00046669084809157154
2025-12-04,Seoul,65+,50.385521629240195,2.9585469101123694e-05,50.385551214709295,74.65002612582553,349.71225501094386,18.225247989713747,814.2551708165556,4.0849630845796074e-05,814.2552116661865,0.00042434893837432297,0.00042434895966310084
2025-12-04,Wonju,0-18,2.9845168689270314,1.7526044211171373e-06,2.9845186215314525,2.522254991934048,12.889950732338717,23.527389220688697,29.618097786682483,2.383802101262222e-06,29.618100170484585,0.0005406044825721883,0.0005406045260825485
2025-12-04,Wonju,19-49,5.875107820445949,3.449920585963353e-06,5.875111270366535,6.096291403012929,30.089536676294028,21.162988237652293,69.40357965475414,4.722753342997941e-06,69.40358437750749,0.0004881388356643279,0.0004881388688810486
2025-12-04,Wonju,50-64,3.320818089197215,1.949986152377142e-06,3.3208200391833675,3.833875999285794,18.619701810394723,20.191838343846623,43.035427186929155,2.6789565691481965e-06,43.035429865885725,0.0004666908190397245,0.0004666908480912413
2025-12-04,Wonju,65+,1.9559361232492458,1.1484903969830126e-06,1.9559372717396428,2.897869824101768,13.575622722577979,18.22524798971375,31.608903721615206,1.5857584879367672e-06,31.608905307373693,0.0004243489383741704,0.0004243489596629483
2025-12-05,Seoul,0-18,60.411187618442696,6.781340991690287e-05,60.41125543185262,51.70901363179247,264.8579755154142,24.101858614156576,654.4874001662247,0.000115627423294167,654.487515793648,0.0005955781679919708,0.000595578273211978
2025-12-05,Seoul,19-49,169.2726285967205,0.00018911251744422678,169.27281770923793,175.7200160231568,871.9377371358614,21.002511259206393,2195.8239610749297,0.000327014656322762,2195.824288089586,0.0005289118190617493,0.0005289118978303208
2025-12-05,Seoul,50-64,74.90929353279826,8.352495328729453e-05,74.90937705775154,86.21091145818079,421.2982280615964,19.734823751852467,1071.1989872567356,0.00014554401512162872,1071.1991328007507,0.0005017804920267489,0.0005017805602037622
2025-12-05,Seoul,65+,48.23348512330061,5.356404298330682e-05,48.2335386873436,69.94245100218878,330.51865486993063,17.2249738575578,862.4886559396982,9.44136738291029e-05,862.4887503533721,0.0004494858106223353,0.0004494858598260048
2025-12-05,Wonju,0-18,3.0118433030988125,3.3808864313100493e-06,3.011846683985244,2.5779901464677435,13.204685278937962,24.101858614156576,32.62994108977,5.764688532572272e-06,32.62994685445853,0.0005955781679918594,0.0005955782732118665
2025-12-05,Wonju,19-49,5.797102779438067,6.476562156509789e-06,5.7971092560002235,6.017907335258806,29.861370508339647,21.002511259206393,75.20068243419519,1.119931549950773e-05,75.20069363351068,0.0005289118190617188,0.0005289118978302903
2025-12-05,Wonju,50-64,3.235759104773225,3.607918528250277e-06,3.2357627126917534,3.7239403620789444,18.198270374533234,19.734823751852467,46.27118629172037,6.286875097398474e-06,46.27119257859547,0.0005017804920263774,0.0005017805602033907
2025-12-05,Wonju,65+,1.8723953400160809,2.079324440644975e-06,1.8723974193405215,2.715124544515596,12.830538527017657,17.224973857557803,33.481299061648315,3.665082928581742e-06,33.48130272673124,0.00044948581062249373,0.0004494858598261632
2025-12-06,Seoul,0-18,27.67818286053395,5.0274961878810936e-05,27.67823313549583,52.971595103082834,271.10296862237976,24.670147866604278,682.1655830268282,0.00016590238517297793,682.1657489292135,0.0006207650874609756,0.000620765238430786
2025-12-06,Seoul,19-49,114.03546606290703,0.0002046627476556726,114.03567072565468,174.3875474271723,866.7154350849253,20.876720789368438,2309.8594271386974,0.0005316774039784346,2309.8599588161014,0.0005563797340050837,0.0005563798620711163
2025-12-06,Seoul,50-64,55.395376563394976,9.892508223391783e-05,55.39547548847721,84.25964561231929,412.72056209258955,19.333021145467274,1126.594363819342,0.00024446909735554656,1126.5946082884395,0.0005277292836502139,0.000527729398166588
2025-12-06,Seoul,65+,40.717822896496685,7.196769075512505e-05,40.71789486418744,66.10373097398613,313.9061186702041,16.359211827088956,903.2064788362477,0.00016638136458422794,903.2066452176123,0.00047070589682914087,0.00047070598353875963
