date_or_day,region,age_group,new_first_infections,new_reinfections,new_infections_total,new_recoveries,active_infected,active_infected_per_100k,cumulative_first_infections,cumulative_reinfections,cumulative_total_infection_episodes,ever_infected_rate,infection_episode_rate
day_1,Seoul,0-18,18.71462111257688,0.0,18.71462111257688,21.978220000000004,87.91288,8.0,128.60572111257352,0.0,128.60572111257352,0.00011703015177077445,0.00011703015177077445
day_1,Seoul,19-49,54.56265723838332,0.0,54.56265723838332,83.03176000000002,332.12704,8.0,469.72145723877475,0.0,469.72145723877475,0.00011314259922679581,0.00011314259922679581
day_1,Seoul,50-64,31.497667280640783,0.0,31.497667280640783,42.69592,170.78368,8.0,244.97726728022099,0.0,244.97726728022099,0.00011475441554144798,0.00011475441554144798
day_1,Seoul,65+,33.65268759031059,0.0,33.65268759031059,38.37668000000001,153.50672000000003,8.000000000000002,225.53608759026974,0.0,225.53608759026974,0.00011753809219050202,0.00011753809219050202
day_1,Wonju,0-18,0.933030925065587,0.0,0.933030925065587,1.09574,4.38296,7.999999999999999,6.411730925065058,0.0,6.411730925065058,0.00011703015177076784,0.00011703015177076784
day_1,Wonju,19-49,1.8686147580524226,0.0,1.8686147580524226,2.8436000000000003,11.3744,7.999999999999999,16.086614758038195,0.0,16.086614758038195,0.00011314259922660145,0.00011314259922660145
day_1,Wonju,50-64,1.3605636747572178,0.0,1.3605636747572178,1.8442800000000004,7.377120000000001,8.0,10.581963674761937,0.0,10.581963674761937,0.0001147544155416958,0.0001147544155416958
day_1,Wonju,65+,1.3063774110876998,0.0,1.3063774110876998,1.4897600000000002,5.95904,7.999999999999999,8.755177411090699,0.0,8.755177411090699,0.00011753809219056357,0.00011753809219056357
day_2,Seoul,0-18,14.971467393701328,0.0,14.971467393701328,17.582576,79.68761455628844,7.251507588538875,143.57718850648962,0.0,143.57718850648962,0.0001306540643477858,0.0001306540643477858
day_2,Seoul,19-49,43.64960943005959,0.0,43.64960943005959,66.425408,292.98296061919166,7.057129961335075,513.3710666680709,0.0,513.3710666680709,0.00012365655423131363,0.00012365655423131363
day_2,Seoul,50-64,25.197799185289185,0.0,25.197799185289185,34.156736,152.3757776403204,7.137720777082232,270.1750664659776,0.0,270.1750664659776,0.00012655779122032156,0.00012655779122032156
day_2,Seoul,65+,26.921725082288145,0.0,26.921725082288145,30.701344000000006,139.63171979515533,7.276904609526167,252.45781267248094,0.0,252.45781267248094,0.00013156834445943785,0.00013156834445943785
day_2,Wonju,0-18,0.7464132983460122,0.0,0.7464132983460122,0.876592,3.9728834625327933,7.251507588538875,7.158144223409181,0.0,7.158144223409181,0.00013065406434754925,0.00013065406434754925
day_2,Wonju,19-49,1.4948741225684903,0.0,1.4948741225684903,2.27488,10.033827379026212,7.057129961335077,17.581488880619872,0.0,17.581488880619872,0.00012365655423139592,0.00012365655423139592
day_2,Wonju,50-64,1.0884364848314576,0.0,1.0884364848314576,1.4754240000000003,6.581977837378609,7.137720777082232,11.670400159593555,0.0,11.670400159593555,0.00012655779122035216,0.00012655779122035216
day_2,Wonju,65+,1.0450854310114783,0.0,1.0450854310114783,1.191808,5.42042070554385,7.276904609526165,9.800262842094526,0.0,9.800262842094526,0.00013156834445943676,0.00013156834445943676
day_3,Seoul,0-18,13.384119767612718,0.0,13.384119767612718,15.937522911257687,75.91448062002563,6.908155493941332,156.96130827395245,0.0,156.96130827395245,0.0001428335035994293,0.0001428335035994293
day_3,Seoul,19-49,38.9793262984439,0.0,38.9793262984439,58.596592123838334,269.851837519979,6.4999666999706855,552.3503929669969,0.0,552.3503929669969,0.00013304557026540132,0.00013304557026540132
day_3,Seoul,50-64,22.503453871521213,0.0,22.503453871521213,30.47515552806408,142.3739385250611,6.669205794139633,292.67852033721283,0.0,292.67852033721283,0.00013709905786651877,0.00013709905786651877
day_3,Seoul,65+,24.229185484797775,0.0,24.229185484797775,27.92634395903107,133.57941027484597,6.961488605832811,276.68699815729633,0.0,276.68699815729633,0.00014419538019302155,0.00014419538019302155
day_3,Wonju,0-18,0.6672749382872664,0.0,0.6672749382872664,0.7945766925065587,3.7847711504656374,6.908155493941332,7.825419161701575,0.0,7.825419161701575,0.00014283350359942278,0.00014283350359942278
day_3,Wonju,19-49,1.3349302997100758,0.0,1.3349302997100758,2.0067654758052424,9.24165265401832,6.4999666999706855,18.916419180313824,0.0,18.916419180313824,0.00013304557026525408,0.00013304557026525408
day_3,Wonju,50-64,0.9720523625247832,0.0,0.9720523625247832,1.316395567475722,6.149941431007921,6.669205794139633,12.642452522122767,0.0,12.642452522122767,0.00013709905786673138,0.00013709905786673138
day_3,Wonju,65+,0.9405626377225005,0.0,0.9405626377225005,1.08408414110877,5.185473632712744,6.961488605832811,10.74082547982107,0.0,10.74082547982107,0.00014419538019306557,0.00014419538019306557
day_4,Seoul,0-18,12.536362982364297,0.0,12.536362982364297,15.182896124005126,73.5058388673243,6.688971069297177,169.4976712563075,0.0,169.4976712563075,0.00015424149112740478,0.00015424149112740478
day_4,Seoul,19-49,36.46106776606105,0.0,36.46106776606105,53.970367503995796,253.10386767751797,6.096555527126438,588.811460732948,0.0,588.811460732948,0.00014182800912155736,0.00014182800912155736
day_4,Seoul,50-64,21.05159456417184,0.0,21.05159456417184,28.474787705012222,135.38753596221187,6.341942553865188,313.730114901904,0.0,313.730114901904,0.00014696023175137296,0.00014696023175137296
day_4,Seoul,65+,22.88275628328003,0.0,22.88275628328003,26.715882054969196,129.9151381816365,6.770525130450915,299.56975444057025,0.0,299.56975444057025,0.00015612072458616547,0.00015612072458616547
day_4,Wonju,0-18,0.625009412695653,0.0,0.625009412695653,0.7569542300931276,3.6646865797358443,6.688971069297177,8.450428574396938,0.0,8.450428574396938,0.00015424149112740134,0.00015424149112740134
day_4,Wonju,19-49,1.2486871565720299,0.0,1.2486871565720299,1.8483305308036642,8.668082648468369,6.096555527126438,20.16510633690632,0.0,20.16510633690632,0.00014182800912158054,0.00014182800912158054
day_4,Wonju,50-64,0.9093382885955106,0.0,0.9093382885955106,1.2299882862015843,5.848158906621245,6.34194255386519,13.55179081071401,0.0,13.55179081071401,0.000146960231751296,0.000146960231751296
day_4,Wonju,65+,0.8882950531567414,0.0,0.8882950531567414,1.037094726542549,5.043228759170278,6.770525130450915,11.62912053297623,0.0,11.62912053297623,0.00015612072458619147,0.00015612072458619147
day_5,Seoul,0-18,11.949852099189243,0.0,11.949852099189243,14.70116777346486,71.4599797706935,6.502799568908992,181.447523355484,0.0,181.447523355484,0.00016511575856050583,0.00016511575856050583
day_5,Seoul,19-49,34.71210704861402,0.0,34.71210704861402,50.620773535503595,239.32482685581232,5.764657448085222,623.523567781318,0.0,623.523567781318,0.00015018917286140098,0.00015018917286140098
day_5,Seoul,50-64,20.044120078454856,0.0,20.044120078454856,27.077507192442376,129.58001862293693,6.0699016965994375,333.7742349798791,0.0,333.7742349798791,0.00015634947553765284,0.00015634947553765284
day_5,Seoul,65+,21.987803069198357,0.0,21.987803069198357,25.983027636327304,126.89929366782908,6.61335444691042,321.55755750997923,0.0,321.55755750997923,0.0001675796642700615,0.0001675796642700615
day_5,Wonju,0-18,0.5957684898579422,0.0,0.5957684898579422,0.7329373159471689,3.562688799818169,6.502799568908992,9.04619706425001,0.0,9.04619706425001,0.00016511575856042508,0.00016511575856042508
day_5,Wonju,19-49,1.1887902605393263,0.0,1.1887902605393263,1.7336165296936739,8.196189959687567,5.764657448085221,21.35389659742941,0.0,21.35389659742941,0.00015018917286136875,0.00015018917286136875
day_5,Wonju,50-64,0.8658197265287344,0.0,0.8658197265287344,1.1696317813242492,5.597299150502206,6.069901696599438,14.417610537246219,0.0,14.417610537246219,0.00015634947553783826,0.00015634947553783826
day_5,Wonju,65+,0.8535534991658722,0.0,0.8535534991658722,1.0086457518340557,4.926155460414634,6.61335444691042,12.482674032144132,0.0,12.482674032144132,0.000167579664270005,0.000167579664270005
