,0-18,19-49,50-64,65+
0-18,3.805987934362934,2.214517857142857,0.43858638996138993,0.12460955598455598
19-49,0.7898479729729729,2.0712659266409266,0.9635164092664091,0.42583108108108103
50-64,0.25903088803088803,1.5953947876447874,1.7680820463320461,0.9487987451737451
65+,0.1000801158301158,0.9586105212355212,1.2902485521235518,2.894473938223938
