date_or_day,source_region,source_age_group,target_region,target_age_group,flow_first,flow_reinfection,flow_total
2026-01-10,Seoul,0-18,Wonju,65+,0.005249270065677172,1.949082621428569e-07,0.005249464973939315
2026-01-10,Seoul,19-49,Seoul,0-18,5.94954857241771,0.0003987441805949873,5.949947316598305
2026-01-10,Seoul,19-49,Seoul,19-49,16.568687453493904,0.0006144907166590109,16.569301944210565
2026-01-10,Seoul,19-49,Seoul,50-64,7.0030926114213266,0.00025116912843484943,7.003343780549762
2026-01-10,Seoul,19-49,Seoul,65+,4.9467259767755865,0.00018367463501915994,4.946909651410605
2026-01-10,Seoul,19-49,Wonju,0-18,0.01630236565952852,1.092599439696141e-06,0.016303458258968218
2026-01-10,Seoul,19-49,Wonju,19-49,0.03118630942694384,1.1566213487641874e-06,0.031187466048292603
2026-01-10,Seoul,19-49,Wonju,50-64,0.016625777583337414,5.96291138339093e-07,0.016626373874475752
2026-01-10,Seoul,19-49,Wonju,65+,0.010554031300964384,3.91876941695686e-07,0.010554423177906079
2026-01-10,Seoul,50-64,Seoul,0-18,1.2196473511302348,8.174187969418395e-05,1.219729093009929
2026-01-10,Seoul,50-64,Seoul,19-49,7.673959203686625,0.00028460773998673105,7.674243811426612
2026-01-10,Seoul,50-64,Seoul,50-64,8.660759573805674,0.00031062211431972674,8.661070195919994
2026-01-10,Seoul,50-64,Seoul,65+,4.454517100107944,0.0001653986508228311,4.454682498758767
2026-01-10,Seoul,50-64,Wonju,0-18,0.003341957268149604,2.2398102919096868e-07,0.003342181249178795
2026-01-10,Seoul,50-64,Wonju,19-49,0.014444262222198401,5.357011573453083e-07,0.014444797923355747
2026-01-10,Seoul,50-64,Wonju,50-64,0.020561182090040805,7.374362259215712e-07,0.020561919526266726
2026-01-10,Seoul,50-64,Wonju,65+,0.009503884614984233,3.528844221646744e-07,0.009504237499406397
2026-01-10,Seoul,65+,Seoul,0-18,0.9165476572066388,6.142786130756838e-05,0.9166090850679464
2026-01-10,Seoul,65+,Seoul,19-49,4.987588387580958,0.000184977040051443,4.98777336462101
2026-01-10,Seoul,65+,Seoul,50-64,4.099938174807097,0.00014704616305139296,4.100085220970148
2026-01-10,Seoul,65+,Seoul,65+,12.822801329309824,0.00047611761094949127,12.823277446920773
2026-01-10,Seoul,65+,Wonju,0-18,0.002511433408819942,1.6831856140504434e-07,0.002511601727381347
2026-01-10,Seoul,65+,Wonju,19-49,0.009387857377714694,3.481718889390967e-07,0.009388205549603634
2026-01-10,Seoul,65+,Wonju,50-64,0.00973350832011097,3.4909674011571397e-07,0.009733857416851087
2026-01-10,Seoul,65+,Wonju,65+,0.02735794285573039,1.0158153478670593e-06,0.027358958671078255
2026-01-10,Wonju,0-18,Seoul,0-18,0.032522212983403714,2.1796684251513163e-06,0.03252439265182887
2026-01-10,Wonju,0-18,Seoul,19-49,0.054974035042074355,2.0388479344221264e-06,0.054976073890008775
2026-01-10,Wonju,0-18,Seoul,50-64,0.010268785241946793,3.6829469241889024e-07,0.010269153536639212
2026-01-10,Wonju,0-18,Seoul,65+,0.008397127977423457,3.117899442385871e-07,0.008397439767367695
2026-01-10,Wonju,0-18,Wonju,0-18,0.45058655274076825,3.0198722402685765e-05,0.45061675146317093
2026-01-10,Wonju,0-18,Wonju,19-49,0.5231967218910046,1.940404328893613e-05,0.5232161259342936
2026-01-10,Wonju,0-18,Wonju,50-64,0.12326582570981076,4.420985374210488e-06,0.12327024669518497
2026-01-10,Wonju,0-18,Wonju,65+,0.09058636189727623,3.3635210515624967e-06,0.0905897254183278
2026-01-10,Wonju,19-49,Seoul,0-18,0.0203056265270229,1.3609016402559295e-06,0.020306987428663156
2026-01-10,Wonju,19-49,Seoul,19-49,0.05654842134298261,2.0972379408157368e-06,0.05655051858092342
2026-01-10,Wonju,19-49,Seoul,50-64,0.02390133997072125,8.572325202554587e-07,0.023902197203241507
2026-01-10,Wonju,19-49,Seoul,65+,0.016883023811520778,6.268758874374061e-07,0.016883650687408217
2026-01-10,Wonju,19-49,Wonju,0-18,0.2813290184995026,1.885492783086743e-05,0.2813478734273335
2026-01-10,Wonju,19-49,Wonju,19-49,0.5381804092080238,1.995975035888198e-05,0.5382003689583826
2026-01-10,Wonju,19-49,Wonju,50-64,0.28691012010134354,1.0290163047032264e-05,0.2869204102643906
2026-01-10,Wonju,19-49,Wonju,65+,0.1821303318256701,6.762598611901248e-06,0.182137094424282
2026-01-10,Wonju,50-64,Seoul,0-18,0.004162618945836979,2.7898252455352886e-07,0.004162897928361532
2026-01-10,Wonju,50-64,Seoul,19-49,0.02619098704329906,9.71357474357444e-07,0.02619195840077342
2026-01-10,Wonju,50-64,Seoul,50-64,0.029558906395241204,1.0601437348796133e-06,0.029559966538976083
2026-01-10,Wonju,50-64,Seoul,65+,0.015203130034498103,5.645005147536898e-07,0.015203694535012857
2026-01-10,Wonju,50-64,Wonju,0-18,0.05767197091216504,3.865228177358036e-06,0.0576758361403424
2026-01-10,Wonju,50-64,Wonju,19-49,0.24926383070946548,9.244565111132576e-06,0.24927307527457662
2026-01-10,Wonju,50-64,Wonju,50-64,0.3548231770399403,1.2725895982049338e-05,0.3548359029359224
2026-01-10,Wonju,50-64,Wonju,65+,0.16400800880719313,6.0897068686056635e-06,0.16401409851406173
2026-01-10,Wonju,65+,Seoul,0-18,0.0031281490007052516,2.0965140378009684e-07,0.0031283586521090316
2026-01-10,Wonju,65+,Seoul,19-49,0.01702248596444013,6.313209558069726e-07,0.017023117285395937
2026-01-10,Wonju,65+,Seoul,50-64,0.013992963053949136,5.018640377180648e-07,0.013993464917986854
2026-01-10,Wonju,65+,Seoul,65+,0.043763827062490865,1.624974781397581e-06,0.043765452037272265
2026-01-10,Wonju,65+,Wonju,0-18,0.04333966681192747,2.904664063135661e-06,0.043342571475990604
2026-01-10,Wonju,65+,Wonju,19-49,0.16200573321959036,6.008382944539273e-06,0.1620117416025349
2026-01-10,Wonju,65+,Wonju,50-64,0.1679706123296928,6.024343049913536e-06,0.1679766366727427
2026-01-10,Wonju,65+,Wonju,65+,0.47211449997562505,1.7529869023955845e-05,0.472132029844649
2026-01-11,Seoul,0-18,Seoul,0-18,9.602619637930843,0.0006786047530351827,9.603298242683879
2026-01-11,Seoul,0-18,Seoul,19-49,16.231904978525787,0.0006316787828029932,16.23253665730859
2026-01-11,Seoul,0-18,Seoul,50-64,3.032013001347138,0.00011397439185593072,3.032126975738994
2026-01-11,Seoul,0-18,Seoul,65+,2.479372598124133,9.655485756979943e-05,2.479469152981703
2026-01-11,Seoul,0-18,Wonju,0-18,0.026312150362578335,1.8594457524998416e-06,0.026314009808330836
2026-01-11,Seoul,0-18,Wonju,19-49,0.03055240269755395,1.1889734798983875e-06,0.03055359167103385
2026-01-11,Seoul,0-18,Wonju,50-64,0.007198187513324043,2.7058229761269165e-07,0.007198458095621656
2026-01-11,Seoul,0-18,Wonju,65+,0.0052898373854159,2.0600352512674675e-07,0.0052900433889410264
2026-01-11,Seoul,19-49,Seoul,0-18,5.961587325146722,0.00042129769240246593,5.962008622839124
2026-01-11,Seoul,19-49,Seoul,19-49,16.60229936833851,0.0006460930045239491,16.602945461343033
2026-01-11,Seoul,19-49,Seoul,50-64,7.0173011679235975,0.0002637827188500355,7.017564950642448
2026-01-11,Seoul,19-49,Seoul,65+,4.956751384974262,0.00019303206962406475,4.956944417043886
2026-01-11,Seoul,19-49,Wonju,0-18,0.016335353061292565,1.1543983462714343e-06,0.016336507459638838
2026-01-11,Seoul,19-49,Wonju,19-49,0.031249575245658714,1.2161045595327924e-06,0.03125079135021824
2026-01-11,Seoul,19-49,Wonju,50-64,0.01665950958051274,6.262365867868521e-07,0.01666013581709953
2026-01-11,Seoul,19-49,Wonju,65+,0.010575420897321757,4.118413905413579e-07,0.010575832738712298
2026-01-11,Seoul,50-64,Seoul,0-18,1.226527548769942,8.667712100520345e-05,1.2266142258909474
2026-01-11,Seoul,50-64,Seoul,19-49,7.71728885593215,0.0003003250473375471,7.717589180979488
2026-01-11,Seoul,50-64,Seoul,50-64,8.709663250451708,0.00032739918061008654,8.709990649632319
2026-01-11,Seoul,50-64,Seoul,65+,4.4796599563447685,0.00017445257295061375,4.47983440891772
2026-01-11,Seoul,50-64,Wonju,0-18,0.003360809706509773,2.3750409022508613e-07,0.003361047210599998
2026-01-11,Seoul,50-64,Wonju,19-49,0.014525819191999646,5.652849618426022e-07,0.01452638447696149
2026-01-11,Seoul,50-64,Wonju,50-64,0.020677282461125206,7.772660251433495e-07,0.02067805972715035
