date_or_day,total_new_first_infections,total_new_reinfections,total_new_infections,total_active_infected,total_active_infected_per_100k,total_recovered,total_recovered_per_100k,cross_region_flow_share,elderly_new_infections,elderly_active_infected,elderly_active_infected_per_100k,elderly_ever_infected_rate,elderly_reinfection_share
2025-11-03,832.5353044571677,0.0,832.5353044571677,3867.1191999999996,40.0,966.7798,10.0,0.002082601729895067,161.80212418262892,797.3288,40.0,0.0005811720957188247,0.0
2025-11-04,665.9735298828773,0.0,665.9735298828773,3509.9630122285835,36.305713175105474,1735.369741,17.95,0.0020825989504355833,129.43223821569575,718.7641020913145,36.058604785945995,0.0006461050258805851,0.0
2025-11-05,609.7826773126553,0.0002135681390125216,609.7828908807943,3349.091000838597,34.641714699030715,2428.685494740717,25.121392635021095,0.0020844737385598846,116.60704496340264,680.1779318265567,34.12283272981268,0.0007046038555348599,3.5022923554010914e-07
2025-11-06,587.9347097560942,0.0005755655490450511,587.9352853216433,3254.72454163914,33.665624184939944,3086.360267434733,31.924128611652137,0.0020866819447266983,110.2665532613177,655.0291930196993,32.861183141494415,0.0007599217847595359,9.789325834463495e-07
2025-11-07,577.1640085371331,0.0010742711977730396,577.1650828083309,3185.4731464562647,32.94931427462867,3721.873374425387,38.49763280558186,0.002088800058324457,106.15955261644403,634.6000548256451,31.836304160875414,0.0008131792892987624,1.8571394056735499e-06
2025-11-08,578.8158475571397,0.001724888209051734,578.8175724453488,3127.807815141653,32.352846171813404,4340.358636844514,44.89500749647969,0.005355904881518963,135.2552351756978,616.0481703736809,30.90560232484671,0.0008810332704707823,2.970075337967924e-06
2025-11-09,570.5849477370224,0.0024726403811860496,570.5874203774035,3081.3696873243184,31.872507962250747,4944.218406688622,51.14110169335997,0.005356434669359974,131.9433585955975,614.6502171433762,30.83547049314542,0.0009472256820394724,4.307776715447704e-06
2025-11-10,557.569176823909,0.0033203360295837392,557.5724971599385,3039.9511776536538,31.4440907604157,5535.771252120041,57.259897777343305,0.0020929940430187114,98.96935190761666,618.5976934347152,31.033505546756384,0.0009968758498266302,5.861950882052201e-06
2025-11-11,549.3984294125775,0.004278278001554222,549.4027076905791,2998.174904599992,31.011972991160885,6116.0826313901725,63.262416440539745,0.002092743354302757,98.57924920717784,607.8015905615877,30.49189195531819,0.001046330226761975,7.624992316590428e-06
2025-11-12,544.5675079112598,0.0053657945868827986,544.5728737058466,2956.3482587638177,30.57933418513521,6685.13719915322,69.14849895656923,0.0020937825982954585,96.75351918504482,591.9926149597669,29.6987950245754,0.0010948685917609214,9.595396230755096e-06
