date_or_day,region,age_group,new_first_infections,new_reinfections,new_infections_total,new_recoveries,active_infected,active_infected_per_100k,cumulative_first_infections,cumulative_reinfections,cumulative_total_infection_episodes,ever_infected_rate,infection_episode_rate
day_1,Seoul,0-18,39.301215196027385,0.0,39.301215196027385,21.978220000000004,87.91288,8.0,149.19231519591995,0.0,149.19231519591995,0.00013576378359659693,0.00013576378359659693
day_1,Seoul,19-49,80.13346707578175,0.0,80.13346707578175,83.03176000000002,332.12704,8.0,495.29226707620546,0.0,495.29226707620546,0.00011930188329771775,0.00011930188329771775
day_1,Seoul,50-64,41.811792903520455,0.0,41.811792903520455,42.69592,170.78368,8.0,255.29139290330932,0.0,255.29139290330932,0.0001195858493754482,0.0001195858493754482
day_1,Seoul,65+,38.955714055699104,0.0,38.955714055699104,38.37668000000001,153.50672000000003,8.000000000000002,230.839114055736,0.0,230.839114055736,0.00012030176349581881,0.00012030176349581881
day_1,Wonju,0-18,1.959390411912113,0.0,1.959390411912113,1.09574,4.38296,7.999999999999999,7.438090411909798,0.0,7.438090411909798,0.00013576378359665244,0.00013576378359665244
day_1,Wonju,19-49,2.744341767255,0.0,2.744341767255,2.8436000000000003,11.3744,7.999999999999999,16.962341767241014,0.0,16.962341767241014,0.00011930188329751732,0.00011930188329751732
day_1,Wonju,50-64,1.8060895143167008,0.0,1.8060895143167008,1.8442800000000004,7.377120000000001,8.0,11.027489514322951,0.0,11.027489514322951,0.00011958584937561489,0.00011958584937561489
day_1,Wonju,65+,1.5122377592751195,0.0,1.5122377592751195,1.4897600000000002,5.95904,7.999999999999999,8.961037759276223,0.0,8.961037759276223,0.00012030176349581441,0.00012030176349581441
day_2,Seoul,0-18,31.43996004984734,0.0,31.43996004984734,17.582576,89.98091159801369,8.188189179834735,180.63227524608374,0.0,180.63227524608374,0.0001643738894651921,0.0001643738894651921
day_2,Seoul,19-49,64.1056599045497,0.0,64.1056599045497,66.425408,305.7683655378909,7.3650941648807855,559.3979269801639,0.0,559.3979269801639,0.00013474312166336446,0.00013474312166336446
day_2,Seoul,50-64,33.448844641113666,0.0,33.448844641113666,34.156736,157.53284045176022,7.379292468777355,288.7402375442907,0.0,288.7402375442907,0.0001352542526519118,0.0001352542526519118
day_2,Seoul,65+,31.164001760585457,0.0,31.164001760585457,30.701344000000006,142.28323302784958,7.415088174789981,262.00311581627466,0.0,262.00311581627466,0.00013654287750596177,0.00013654287750596177
day_2,Wonju,0-18,1.5674618702069467,0.0,1.5674618702069467,0.876592,4.4860632059560555,8.188189179834733,9.005552282120334,0.0,9.005552282120334,0.00016437388946502517,0.00016437388946502517
day_2,Wonju,19-49,2.195435270847897,0.0,2.195435270847897,2.27488,10.4716908836275,7.3650941648807855,19.157777038111817,0.0,19.157777038111817,0.00013474312166346754,0.00013474312166346754
day_2,Wonju,50-64,1.444846139741528,0.0,1.444846139741528,1.4754240000000003,6.804740757158351,7.379292468777356,12.472335654048948,0.0,12.472335654048948,0.000135254252651972,0.000135254252651972
day_2,Wonju,65+,1.2097681003893457,0.0,1.2097681003893457,1.191808,5.52335087963756,7.415088174789979,10.170805859670509,0.0,10.170805859670509,0.00013654287750604807,0.00013654287750604807
day_3,Seoul,0-18,31.063650470882997,0.0,31.063650470882997,17.996182319602738,97.53001310234147,8.875151227200517,211.6959257167764,0.0,211.6959257167764,0.00019264155670184065,0.00019264155670184065
