0세,2.8,6.2,4.9,3.6,14.1,15.8,3.2,16.4,11.1,36.8,38.8,56.1,55.4,47.6,26.2,26.6,26.2,20.8,26.9,29.7,45.5,34.8,32.4,43.6,31.1,21.9,20.4,15.4,12.5,16.2,14.4,10.9,6.5,집계 중,
1-6세,6.8,7.3,11.5,14.9,22.7,18.9,14.5,25.8,40.6,82.1,105.6,104,107.5,81.3,73.2,56.9,51.3,44.9,51,73.4,81.7,86.3,92.3,81.9,81.3,40.1,30,26.3,22,18.5,17.5,15.1,13.9,집계 중,
7-12세,12.3,11,14.2,22.6,27.9,23.5,16.1,31.6,68.4,138.1,170.4,189,175.9,150,116,110.4,107.3,105.4,127.2,135.9,139.6,136.4,167.5,150.8,121.8,56.1,55.8,51.5,52.6,47.5,40.5,29.3,23.1,집계 중,
13-18세,8.7,9.6,7.9,8.9,16.4,17.7,11.1,15.8,34.4,75.6,112.6,130.7,137.7,119.1,116.2,91.5,75,77.1,97.2,88.7,85.1,72.3,81.2,78.8,64,41.1,27.8,32.7,41.3,41.6,29.8,22.1,16.3,집계 중,
19-49세,8.1,8.7,9.3,8.6,11.4,17.6,9.2,11.8,15.7,34.7,50.7,60,63,59.3,50.5,39,37.7,38.2,44.2,44.8,49.3,48.9,51.8,46.3,45.3,28.1,21.7,14.2,15.5,13.6,12.6,9.4,9.4,집계 중,
50-64세,5,4.6,4.9,3.7,4.4,7.5,4.5,6.4,7.3,12.1,17.5,18.5,19.8,17.3,17.7,13.9,13.1,13.6,14.7,14.7,14.5,14,15.4,15.3,15.3,8.4,7,6,6.4,5.8,6,4.2,6.0,집계 중,
65세 이상,4.7,4.2,5.1,3.6,4.9,6.4,3.5,6.9,7.7,10.7,10.8,12.9,11.9,10.5,10.6,9,10,9.3,9,9.5,9.7,9.7,9.8,8.5,9.1,6.4,5,3.5,4.1,4,4.9,3.2,4.6,집계 중,
