date_or_day,region,age_group,S0,E0,I0,R,S1,E1,I1,active_I,susceptible_total,population
initial_state,Seoul,0-18,1098581.3267,0.0,329.6733,0.0,0.0,0.0,0.0,329.6733,1098581.3267,1098911.0
initial_state,Seoul,19-49,4150342.5236,0.0,1245.4763999999998,0.0,0.0,0.0,0.0,1245.4763999999998,4150342.5236,4151588.0
initial_state,Seoul,50-64,2134155.5612,0.0,640.4387999999999,0.0,0.0,0.0,0.0,640.4387999999999,2134155.5612,2134796.0
initial_state,Seoul,65+,1918258.3498,0.0,575.6501999999999,0.0,0.0,0.0,0.0,575.6501999999999,1918258.3498,1918834.0
initial_state,Wonju,0-18,54770.5639,0.0,16.4361,0.0,0.0,0.0,0.0,16.4361,54770.5639,54787.0
initial_state,Wonju,19-49,142137.346,0.0,42.653999999999996,0.0,0.0,0.0,0.0,42.653999999999996,142137.346,142180.0
initial_state,Wonju,50-64,92186.3358,0.0,27.664199999999997,0.0,0.0,0.0,0.0,27.664199999999997,92186.3358,92214.0
initial_state,Wonju,65+,74465.6536,0.0,22.3464,0.0,0.0,0.0,0.0,22.3464,74465.6536,74488.0
2025-12-01,Seoul,0-18,1098501.1697483677,80.15695163204528,263.73864,65.93466,0.0,0.0,0.0,263.73864,1098501.1697483677,1098911.0
2025-12-01,Seoul,19-49,4150102.1759233475,240.34767665229415,996.3811199999998,249.09527999999997,0.0,0.0,0.0,996.3811199999998,4150102.1759233475,4151588.0
2025-12-01,Seoul,50-64,2134045.201918181,110.35928181862994,512.3510399999999,128.08775999999997,0.0,0.0,0.0,512.3510399999999,2134045.201918181,2134796.0
2025-12-01,Seoul,65+,1918183.5704879297,74.77931207014548,460.5201599999999,115.13004,0.0,0.0,0.0,460.5201599999999,1918183.5704879297,1918834.0
2025-12-01,Wonju,0-18,54766.56761739926,3.9962826007427936,13.14888,3.28722,0.0,0.0,0.0,13.14888,54766.56761739926,54787.0
2025-12-01,Wonju,19-49,142129.11478036392,8.231219636058102,34.1232,8.5308,0.0,0.0,0.0,34.1232,142129.11478036392,142180.0
2025-12-01,Wonju,50-64,92181.56875396206,4.767046037946081,22.131359999999997,5.53284,0.0,0.0,0.0,22.131359999999997,92181.56875396206,92214.0
2025-12-01,Wonju,65+,74462.75071137206,2.902888627927688,17.877119999999998,4.46928,0.0,0.0,0.0,17.877119999999998,74462.75071137206,74488.0
2025-12-02,Seoul,0-18,1098437.048398058,104.19982612608962,251.06938781602264,118.35271469999999,0.3296733,0.0,0.0,251.06938781602264,1098437.378071358,1098911.0
2025-12-02,Seoul,19-49,4149909.9078034647,312.4419582088189,917.2787343261468,447.1260276,1.2454763999999998,0.0,0.0,917.2787343261468,4149911.1532798647,4151588.0
2025-12-02,Seoul,50-64,2133956.9186016265,143.4629574634855,465.06047290931497,229.91752919999996,0.6404387999999999,0.0,0.0,465.06047290931497,2133957.5590404267,2134796.0
2025-12-02,Seoul,65+,1918123.749137163,97.21100680213908,405.80578403507263,206.65842179999996,0.5756502,0.0,0.0,405.80578403507263,1918124.324787363,1918834.0
2025-12-02,Wonju,0-18,54763.370801260884,5.194957438746244,12.517245300371398,5.9005599,0.016436100000000002,0.0,0.0,12.517245300371398,54763.38723736088,54787.0
2025-12-02,Wonju,19-49,142122.53014786073,10.700242321282811,31.41416981802905,15.312785999999997,0.042654,0.0,0.0,31.41416981802905,142122.57280186072,142180.0
2025-12-02,Wonju,50-64,92177.75529461853,6.196982362501078,20.088611018973037,9.9314478,0.0276642,0.0,0.0,20.088611018973037,92177.78295881853,92214.0
2025-12-02,Wonju,65+,74460.42848194737,3.7736737386755372,15.753140313963842,8.0223576,0.022346400000000002,0.0,0.0,15.753140313963842,74460.45082834737,74488.0
2025-12-03,Seoul,0-18,1098376.7868647692,112.36144635205751,252.95542331586293,167.97482868970454,0.9214242130134999,1.2660486500190103e-05,0.0,252.95542331586293,1098377.7082889823,1098911.0
2025-12-03,Seoul,19-49,4149732.999006008,333.129776560937,890.043966565327,628.3461443272294,3.4810693718922483,3.716610775152419e-05,0.0,890.043966565327,4149736.48007538,4151588.0
2025-12-03,Seoul,50-64,2133876.588753948,152.06132641109988,443.77985705919474,321.780036135863,1.7900095700036234,1.6875996376268032e-05,0.0,443.77985705919474,2133878.378763518,2134796.0
2025-12-03,Seoul,65+,1918070.1303508128,102.2242897511218,373.2501306291276,286.7862864980145,1.608931044838255,1.1264161744672381e-05,0.0,373.2501306291276,1918071.7392818576,1918834.0
2025-12-03,Wonju,0-18,54760.366419082246,5.60186089800737,12.61127495967024,8.37450616057428,0.04593826830231986,6.311976801450848e-07,0.0,12.61127495967024,54760.41235735055,54787.0
2025-12-03,Wonju,19-49,142116.47152816568,11.408740855651866,30.481457015064642,21.519056033605807,0.11921665716724295,1.2728327570345878e-06,0.0,30.481457015064642,142116.59074482284,142180.0
2025-12-03,Wonju,50-64,92174.28539090225,6.568394897532675,19.16937999642897,13.89951276479461,0.07732071002958324,7.289704167710547e-07,0.0,19.16937999642897,92174.36271161228,92214.0
2025-12-03,Wonju,65+,74458.34703240162,3.9682864150737167,14.489349120508841,11.132873874792768,0.06245775073190905,4.3726809095375444e-07,0.0,14.489349120508841,74458.40949015235,74488.0
2025-12-04,Seoul,0-18,1098316.9237874523,116.04380049271839,258.5450618287191,217.7260392094286,1.7612632029351456,4.148377012716908e-05,6.3302432500950514e-06,258.54506815896235,1098318.6850506552,1098911.0
2025-12-04,Seoul,19-49,4149561.4486675216,338.1152267673833,878.6000615327301,803.2132069186587,6.622699357497268,0.00011931908500277312,1.8583053875762096e-05,878.6000801157841,4149568.071366879,4151588.0
2025-12-04,Seoul,50-64,2133799.7103062766,152.90911087668292,431.0545488529057,408.92710736702264,3.3988646076174804,5.358106364620016e-05,8.437998188134016e-06,431.0545572909039,2133803.1091708844,2134796.0
2025-12-04,Seoul,65+,1918019.7448291834,101.4976665048011,349.71224937886296,360.00238119134997,3.0428328918592262,3.5217549973459886e-05,5.632080872336191e-06,349.71225501094386,1918022.7876620754,1918834.0
2025-12-04,Wonju,0-18,54757.38190221332,5.785447317930716,12.889950416739877,10.854888621705456,0.08780904650077015,2.0682032611896797e-06,3.155988400725424e-07,12.889950732338717,54757.469711259815,54787.0
2025-12-04,Wonju,19-49,142110.59642034525,11.579478248271883,30.08953603987765,27.507752156450707,0.22680848741468604,4.086336964480647e-06,6.364163785172939e-07,30.089536676294028,142110.82322883265,142180.0
2025-12-04,Wonju,50-64,92170.96457281307,6.605015537963554,18.619701445909513,17.66389120025643,0.1468163238674039,2.3144713607626692e-06,3.6448520838552735e-07,18.619701810394723,92171.11138913693,92214.0
2025-12-04,Wonju,65+,74456.39109627838,3.940079330786104,13.575622503943933,13.975079329520572,0.11812097161547591,1.36712444245989e-06,2.1863404547687722e-07,13.575622722577979,74456.50921725,74488.0
2025-12-05,Seoul,0-18,1098256.5125998338,118.43308786480188,264.8579497093345,268.3464226451739,2.849825585572372,8.85552949804874e-05,2.580607966366058e-05,264.8579755154142,1098259.3624254193,1098911.0
2025-12-05,Seoul,19-49,4149392.176038925,338.33024198041215,871.9376626098758,974.9171569072222,10.638576279573117,0.00024877205994561333,7.452598560199624e-05,871.9377371358614,4149402.8146152045,4151588.0
2025-12-05,Seoul,50-64,2133724.8010127433,151.3638489711397,421.298194520666,493.09338328836833,5.443416619499307,0.00011031548511039461,3.354093037360729e-05,421.2982280615964,2133730.244429363,2134796.0
2025-12-05,Seoul,65+,1917971.5113440603,98.98231837570117,330.51863275549096,428.144820287582,4.842791233772993,7.117281797003677e-05,2.2114439684598895e-05,330.51865486993063,1917976.354135294,1918834.0
2025-12-05,Wonju,0-18,54754.37005891023,5.9045669620641705,13.204683992357259,13.378604325064671,0.1420801087228661,4.414988061904889e-06,1.286580702652874e-06,13.204685278937962,54754.51213901895,54787.0
2025-12-05,Wonju,19-49,142104.7993175658,11.586841903574008,29.861367956038062,33.38812073092726,0.36434077163478307,8.519730638750112e-06,2.5523015850541587e-06,29.861370508339647,142105.16365833743,142180.0
2025-12-05,Wonju,50-64,92167.72881370828,6.538266873755003,18.198268925709385,21.29951210633409,0.23513217195015781,4.765154208631612e-06,1.4488238470897565e-06,18.198270374533234,92167.96394588023,92214.0
2025-12-05,Wonju,65+,74454.51870093835,3.842435005409133,12.8305376685482,16.620328477388565,0.18799428893863812,2.7628866618749194e-06,8.584694576114467e-07,12.830538527017657,74454.70669522729,74488.0
2025-12-06,Seoul,0-18,1098228.8344169732,86.89472679293489,271.10290369986853,319.9762856350309,4.191507423836363,9.455260936905465e-05,6.492251122117217e-05,271.10296862237976,1098233.025924397,1098911.0
