date_or_day,total_new_first_infections,total_new_reinfections,total_new_infections,total_active_infected,total_active_infected_per_100k,total_recovered,total_recovered_per_100k,cross_region_flow_share,elderly_new_infections,elderly_active_infected,elderly_active_infected_per_100k,elderly_ever_infected_rate,elderly_reinfection_share
day_107,7972.234786074564,0.0,7972.234786074564,32566.439200328143,336.8547749997274,160852.30403606332,1663.79463075318,0.0021184357079594364,848.4745775819765,3425.66244820679,171.85695277565742,0.011082398637292747,0.0
day_108,8251.526406535093,0.0,8251.526406535093,33759.9122889552,349.1996035597268,167365.59187612895,1731.1655857531257,0.002118213933770552,880.510280317333,3558.8827504507103,178.54028352923964,0.01152412871417809,0.0
day_109,8537.68235591183,0.0,8537.68235591183,34987.07349877805,361.89288914371247,174117.57433392,1801.005506465071,0.0021179843192343233,913.5314603875601,3696.5377364618744,185.44609132201793,0.011982424694650865,0.0
day_110,8830.643304914856,0.0,8830.643304914856,36248.0718107853,374.9361727539746,181114.98903367558,1873.384084293813,0.00211774669011508,947.5500259332035,3838.711687413932,192.57860433055632,0.012457786942161774,0.0
day_111,9130.328951038256,0.0,9130.328951038256,37542.9856069671,388.3302651438011,188364.60339583267,1948.3713188446086,0.0021175008744324093,982.5764365944685,3985.4851120199637,199.94186147646812,0.012950721067503558,0.0
day_112,9436.636800982818,0.0,9436.636800982818,38871.81704026224,402.0751885823663,195873.20051722607,2026.037371873368,0.002117246703176875,1018.6195549727443,4136.934188957614,207.53968445427356,0.01346173712761464,0.0
day_113,9749.440974713016,0.0,9749.440974713016,40234.486310045475,416.17011764256426,203647.56392527852,2106.4524095898414,0.0021169840110618907,1055.6864926486421,4293.130178323285,215.37564820552248,0.013991348747136605,0.0
day_114,10068.591042326934,0.0,10068.591042326934,41630.82587431074,430.61331933404836,211694.46118728764,2189.6864331183547,0.002116712637311199,1093.7824512293291,4454.138802561546,223.45304986156506,0.01454007216022748,0.0
day_115,10393.91090579973,0.0,10393.91090579973,43060.57463374924,445.4020929455626,220020.62636214975,2275.809096985164,0.0021164324264810177,1132.9105589970823,4620.01959761536,231.77487619237434,0.015108425170427188,0.0
day_116,10725.1977384764,0.0,10725.1977384764,44523.37212704958,460.53271000334905,228632.74128889962,2364.889515574277,0.0021161432293154104,1173.0717038287416,4790.825235373891,240.3437696154405,0.01569692602670065,0.0
day_117,11062.220995950174,0.0,11062.220995950174,46018.75278090295,476.0003547954038,237537.41571430955,2456.996057574947,0.0021158449036330945,1214.264363172848,4966.600818854285,249.1619928367963,0.016306092214186947,0.0
day_118,11404.721512608403,0.0,11404.721512608403,47546.14026232909,491.79906595409926,246741.16627049012,2552.1961285340276,0.00211553731524333,1256.4844319738324,5147.383151947438,258.23139221598103,0.016936439158621374,0.0
day_119,11752.410698705165,0.0,11752.410698705165,49104.84198497085,507.92167963139957,256250.39432295592,2650.555941724847,0.0021152203388878866,1299.7250495579433,5333.199985976872,267.55335996777603,0.017588478843909593,0.0
day_120,12104.969853195522,0.0,12104.969853195522,50694.043824883054,524.3597748410036,266071.3627199501,2752.140277651127,0.0021148938592057877,1343.9764266073266,5524.069245769931,277.12879533612386,0.018262718342900424,0.0
day_121,12462.04960786035,0.0,12462.04960786035,52312.80510495738,541.1036215791578,276210.1714849268,2857.012232619328,0.0021145577717166662,1389.2256734746238,5719.998238413824,286.95806489939025,0.018959658262027664,0.0
day_122,12823.26951827847,0.0,12823.26951827847,53960.053910421564,558.1421323699726,286672.7325059182,2965.232956935159,0.0021142119838182902,1435.456631201516,5920.982848367311,297.0409621911217,0.019679791101178262,0.0
day_123,13188.217817113728,0.0,13188.217817113728,55634.5828007043,575.4628179105966,297464.7432880025,3076.861383409154,0.0021138564157927864,1482.6497067305056,6127.006723112732,307.37666684623616,0.020423599530890388,0.0
day_124,13556.451344774892,0.0,13556.451344774892,57335.044985303844,593.051747515865,308591.65984814335,3191.953946991273,0.0021134910018160416,1530.7817139007618,6338.040454064881,317.96370350926145,0.021191554589782426,0.0
day_125,13927.49567193861,0.0,13927.49567193861,59059.9510330007,610.8935150796563,320058.66884520417,3310.5642964944464,0.0021131156909636175,1579.8257219312093,6554.040757989632,328.7999007681464,0.02198411380597095,0.0
