date_or_day,total_new_first_infections,total_new_reinfections,total_new_infections,total_active_infected,total_active_infected_per_100k,total_recovered,total_recovered_per_100k,cross_region_flow_share,elderly_new_infections,elderly_active_infected,elderly_active_infected_per_100k,elderly_ever_infected_rate,elderly_reinfection_share
day_1,189.45862560710066,0.0,189.45862560710066,773.42384,8.0,193.35596000000004,2.0000000000000004,0.0032674519846778746,42.60453478799732,159.46576000000002,8.0,0.00012137363395769184,0.0
day_2,151.56416149384526,0.0,151.56416149384526,713.4683848035503,7.379843732808135,348.04072800000006,3.600000000000001,0.0032674512048493534,34.08297212196746,148.87487539399868,7.468681697889186,0.00013847221217135806,0.0
day_3,140.43101791532402,0.0,140.43101791532402,693.9214449915381,7.177657673355795,490.7344049607101,5.075968746561627,0.0032692113565615253,31.539817363322637,146.79252007318203,7.3642151179378965,0.00015429495298472957,0.0
day_4,137.27853185321732,0.0,137.27853185321732,686.9260335252413,7.105299816206766,629.5186939590178,6.511500281232787,0.003271232371387194,30.78736527995203,147.05023461919848,7.377144014825427,0.00016974020732892157,0.0
day_5,136.53065503855643,0.0,136.53065503855643,684.0745315128071,7.075804971440313,766.903900664066,7.932560244474139,0.0032731036466037374,30.567784134693067,147.84197961566122,7.416863889309465,0.00018507530328159505,0.0
day_6,136.5270145045894,0.0,136.5270145045894,682.791805075831,7.062536940426672,903.7188069666275,9.347721238762203,0.0032747844015165372,30.503956674381392,148.65837172002676,7.457820247808772,0.0002003783785873327,0.0
day_7,136.77062472316385,0.0,136.77062472316385,682.2630412457521,7.057067609870956,1040.2771679817938,10.760228626847539,0.0032763012762793684,30.483696023887138,149.37106972696097,7.493574531709426,0.00021567128962914444,0.0
day_8,137.11105903298264,0.0,137.11105903298264,682.2105439507274,7.056524597956301,1176.729776230944,12.171642148821729,0.0032776813826528254,30.47443131097019,149.96088996898214,7.523164344194373,0.00023095955279537033,0.0
day_9,137.50153538323795,0.0,137.50153538323795,682.524020154136,7.059767075751231,1313.1718850210896,13.58294706841299,0.0032789444861233167,30.467396896006164,150.4379447243775,7.547096993078765,0.00024624428697083204,0.0
day_10,137.92648598167574,0.0,137.92648598167574,683.1477763117048,7.066218970562943,1449.6766890519168,14.994900483563235,0.003280104998528845,30.46083395958101,150.81867060210095,7.566197062095385,0.00026152572868458053,0.0
